Facility ,County,Total licensed beds,Cases*,Deaths**
16 ACRES HEALTHCARE CENTER,HAMPDEN,120,> 30,16
ABERJONA NURSING CENTER INC,MIDDLESEX,123,> 30,6
ACADEMY MANOR,ESSEX,174,> 30,22
ADVINIA CARE AT PROVINCETOWN,BARNSTABLE,41,0,0
ADVINIA CARE AT WILMINGTON,MIDDLESEX,142,> 30,30
ADVOCATE HEALTHCARE OF EAST BOSTON LLC,SUFFOLK,190,> 30,17
AGAWAM HEALTHCARE,HAMPDEN,176,> 30,25
ALDEN COURT NURSING CARE & REHABILITATION CENTER,BRISTOL,142,11-30,1-4
ALLIANCE HEALTH AT ABBOTT,ESSEX,55,11-30,1-4
ALLIANCE HEALTH AT BALDWINVILLE,WORCESTER,94,> 30,15
ALLIANCE HEALTH AT BRAINTREE,NORFOLK,101,> 30,23
ALLIANCE HEALTH AT DEVEREUX,ESSEX,64,> 30,18
ALLIANCE HEALTH AT MARIE ESTHER,MIDDLESEX,78,1-10,0
ALLIANCE HEALTH AT MARINA BAY,NORFOLK,167,> 30,28
ALLIANCE HEALTH AT ROSEWOOD,ESSEX,135,> 30,23
ALLIANCE HEALTH AT WEST ACRES,PLYMOUTH,130,> 30,37
ANN'S REST HOME,SUFFOLK,13,0,0
APPLE VALLEY CENTER,MIDDLESEX,123,> 30,1-4
APPLEWOOD-A HOME FOR ELDERS,WORCESTER,32,0,0
ARMENIAN NURSING & REHABILITATION CENTER,SUFFOLK,83,> 30,30
ARNOLD HOUSE INC,MIDDLESEX,22,11-30,0
ATTLEBORO HEALTHCARE,BRISTOL,120,> 30,15
BAKER-KATZ SKILLED NURSING AND REHABILITATION CTR,ESSEX,77,> 30,14
BAYPATH AT DUXBURY NURSING & REHABILITATION CTR,PLYMOUTH,120,> 30,12
BAYPOINTE REHAB CENTER,PLYMOUTH,169,> 30,42
BEAR HILL HEALTHCARE AND REHABILITATION CENTER,MIDDLESEX,169,> 30,27
BEAR MOUNTAIN AT ANDOVER,ESSEX,135,> 30,13
BEAR MOUNTAIN AT READING,MIDDLESEX,123,> 30,32
BEAR MOUNTAIN AT SUDBURY,MIDDLESEX,142,> 30,13
BEAR MOUNTAIN AT WEST SPRINGFIELD,HAMPDEN,168,> 30,16
BEAR MOUNTAIN AT WORCESTER,WORCESTER,173,> 30,12
BEAUMONT AT UNIVERSITY CAMPUS,WORCESTER,164,> 30,30
BEAUMONT REHAB & SKILLED NURSING CTR - NATICK,MIDDLESEX,53,> 30,10
BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO,WORCESTER,96,> 30,32
BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBRIDGE,WORCESTER,154,> 30,37
BEAUMONT REHAB & SKILLED NURSING CTR - WESTBORO,WORCESTER,152,> 30,31
BEAVEN KELLY HOME,HAMPDEN,57,0,0
BELMONT MANOR NURSING HOME IN,MIDDLESEX,156,> 30,56
BELVIDERE HEALTHCARE CENTER,MIDDLESEX,115,> 30,12
BENCHMARK SNR LIVING AT THE COMMONS IN LINCOLN SNF,MIDDLESEX,32,11-30,0
BENJAMIN HEALTHCARE CENTER,SUFFOLK,205,> 30,20
BERKELEY RETIREMENT HOMETHE,ESSEX,44,0,0
BERKSHIRE PLACE,BERKSHIRE,54,0,0
BERKSHIRE REHABILITATION & SKILLED CARE CENTER,BERKSHIRE,57,1-10,0
BETHANY SKILLED NURSING FACILITY,MIDDLESEX,169,> 30,19
BLAIRE HOUSE OF MILFORD,WORCESTER,73,> 30,17
BLAIRE HOUSE OF TEWKSBURY,MIDDLESEX,131,> 30,23
BLAIRE HOUSE OF WORCESTER,WORCESTER,75,> 30,27
BLUE HILLS HEALTH AND REHABILITATION CENTER,NORFOLK,92,> 30,15
BLUEBERRY HILL REHABILITATION AND HEALTHCARE CTR,ESSEX,132,> 30,24
BOSTON HOME INC (THE),SUFFOLK,96,> 30,1-4
BOSTONIAN NURSING CARE & REHABILITATION CTR THE,SUFFOLK,121,11-30,10
BOURNE MANOR EXTENDED CARE FACILITY,BARNSTABLE,142,1-10,0
BRAINTREE MANOR HEALTHCARE,NORFOLK,177,> 30,14
BRANDON WOODS OF DARTMOUTH,BRISTOL,118,> 30,22
BRANDON WOODS OF NEW BEDFORD,BRISTOL,135,> 30,7
BRENTWOOD REHABILITATION AND HEALTHCARE CTR (THE),ESSEX,159,> 30,23
BRIARWOOD REHABILITATION & HEALTHCARE CENTER,NORFOLK,120,> 30,31
BRIDGEWATER NURSING HOME,PLYMOUTH,43,0,0
BRIGHAM HEALTH AND REHABILITATION CENTER,ESSEX,64,1-10,0
BRIGHTON HOUSE REHABILITATION & NURSING CENTER,SUFFOLK,78,> 30,18
BROCKTON HEALTH CENTER,PLYMOUTH,123,> 30,21
BROOK HAVEN ASSISTED LIVING LLC,WORCESTER,34,0,0
BROOKHAVEN AT LEXINGTON,MIDDLESEX,49,11-30,1-4
BROOKHOUSE HOME FOR AGED WOMEN IN S,ESSEX,36,1-10,0
BROOKSIDE REHABILITATION AND HEALTHCARE CENTER,WORCESTER,81,0,0
BRUSH HILL CARE CENTER,NORFOLK,160,> 30,5
BUCKLEY-GREENFIELD HEALTHCARE CENTER,FRANKLIN,120,> 30,21
BURGOYNE REST HOME,SUFFOLK,11,0,0
CALDWELL HOME - EXTENDED CARE,WORCESTER,28,0,0
CAMBRIDGE REHABILITATION & NURSING CENTER,MIDDLESEX,83,> 30,21
CAMPION HEALTH & WELLNESS INC,MIDDLESEX,70,1-10,0
CAPE HERITAGE REHABILITATION & HEALTH CARE CENTER,BARNSTABLE,123,1-10,0
CAPE REGENCY REHABILITATION & HEALTH CARE CENTER,BARNSTABLE,120,> 30,17
CAPE WINDS REST HOME OF HYANNIS,BARNSTABLE,37,0,0
CAPE WINDS REST HOME OF SANDWICH,BARNSTABLE,20,0,0
CARDIGAN NURSING & REHABILITATION CENTER,PLYMOUTH,65,11-30,10
CARE ONE AT BROOKLINE,NORFOLK,120,> 30,28
CARE ONE AT CONCORD,MIDDLESEX,135,> 30,26
CARE ONE AT ESSEX PARK,ESSEX,202,> 30,33
CARE ONE AT HOLYOKE,HAMPDEN,164,> 30,20
CARE ONE AT LEXINGTON,MIDDLESEX,211,> 30,24
CARE ONE AT LOWELL,MIDDLESEX,160,> 30,19
CARE ONE AT MILLBURY,WORCESTER,154,> 30,28
CARE ONE AT NEW BEDFORD,BRISTOL,154,> 30,30
CARE ONE AT NEWTON,MIDDLESEX,202,> 30,31
CARE ONE AT NORTHAMPTON,HAMPSHIRE,125,> 30,22
CARE ONE AT PEABODY,ESSEX,150,> 30,27
CARE ONE AT RANDOLPH,NORFOLK,168,> 30,41
CARE ONE AT REDSTONE,HAMPDEN,254,> 30,15
CARE ONE AT WEYMOUTH,NORFOLK,154,> 30,28
CARE ONE AT WILMINGTON,MIDDLESEX,132,> 30,33
CARLETON-WILLARD VILLAGE RETIREMENT & NURSING CTR,MIDDLESEX,179,> 30,14
